TIMESTEP,Chihuahuan Deserts
1/16/1950,2.265332
2/16/1950,3.3191202
3/16/1950,7.0096183
4/16/1950,12.563789
5/16/1950,16.250374
6/16/1950,21.209484
7/16/1950,24.336576
8/16/1950,22.298597
9/16/1950,20.789011
10/16/1950,12.779879
11/15/1950,6.147433
12/15/1950,2.3873422
1/16/1951,2.213149
2/16/1951,3.6049654
3/15/1951,7.0948033
4/15/1951,11.128303
5/15/1951,15.816342
6/15/1951,20.316412
7/15/1951,23.341787
8/15/1951,22.270458
9/15/1951,18.988884
10/15/1951,13.563128
11/15/1951,5.8045554
12/15/1951,0.9238729
1/16/1952,1.2173922
2/16/1952,3.7975526
3/15/1952,9.217783
4/15/1952,12.874433
5/15/1952,17.04777
6/15/1952,21.064844
7/15/1952,23.835518
8/15/1952,21.421303
9/15/1952,17.313116
10/15/1952,13.255396
11/15/1952,7.52507
12/15/1952,1.1956341
1/16/1953,2.4952128
2/16/1953,4.8891444
3/15/1953,9.253723
4/15/1953,12.497145
5/15/1953,15.607639
6/15/1953,22.688583
7/15/1953,24.134182
8/15/1953,23.125301
9/15/1953,19.390472
10/15/1953,12.968492
11/15/1953,8.5494795
12/15/1953,2.981066
1/16/1954,2.861651
2/16/1954,5.2983003
3/15/1954,7.2370076
4/15/1954,11.151853
5/15/1954,16.514763
6/15/1954,23.474281
7/15/1954,24.031298
8/15/1954,21.544598
9/15/1954,18.039972
10/15/1954,15.484281
11/15/1954,6.0287843
12/15/1954,-0.019208571
1/16/1955,2.9077697
2/16/1955,4.53384
3/15/1955,6.7750854
4/15/1955,11.596918
5/15/1955,16.809214
6/15/1955,20.695415
7/15/1955,24.243402
8/15/1955,22.802149
9/15/1955,18.841679
10/15/1955,12.950102
11/15/1955,7.712366
12/15/1955,5.262411
1/16/1956,0.46698684
2/16/1956,4.6970024
3/15/1956,10.889649
4/15/1956,14.6886
5/15/1956,18.383013
6/15/1956,23.386683
7/15/1956,22.069336
8/15/1956,21.16271
9/15/1956,19.21654
10/15/1956,14.294742
11/15/1956,3.6194901
12/15/1956,4.169706
1/16/1957,0.81969684
2/16/1957,2.4983773
3/15/1957,8.840521
4/15/1957,12.502325
5/15/1957,16.971493
6/15/1957,21.720613
7/15/1957,22.693563
8/15/1957,22.189636
9/15/1957,18.336275
10/15/1957,14.226667
11/15/1957,7.360989
12/15/1957,3.0076232
1/16/1958,1.2757547
2/16/1958,3.6464345
3/15/1958,7.8265824
4/15/1958,11.667458
5/15/1958,15.1166935
6/15/1958,21.139017
7/15/1958,24.07679
8/15/1958,22.792126
9/15/1958,19.2924
10/15/1958,13.703812
11/15/1958,8.040017
12/15/1958,4.1869416
1/16/1959,-0.17753066
2/16/1959,3.5820117
3/15/1959,9.020319
4/15/1959,11.857537
5/15/1959,16.947664
6/15/1959,20.596823
7/15/1959,22.319311
8/15/1959,21.80183
9/15/1959,19.65851
10/15/1959,13.763621
11/15/1959,8.655947
12/15/1959,4.8834734
1/16/1960,1.9239417
2/16/1960,4.601669
3/15/1960,7.5463505
4/15/1960,10.385574
5/15/1960,17.663404
6/15/1960,21.261751
7/15/1960,23.378246
8/15/1960,21.235023
9/15/1960,18.972996
10/15/1960,12.414
11/15/1960,6.778202
12/15/1960,2.0030816
1/16/1961,0.79712
2/16/1961,1.5106384
3/15/1961,5.0174375
4/15/1961,13.552283
5/15/1961,17.437426
6/15/1961,21.52246
7/15/1961,25.239624
8/15/1961,24.0895
9/15/1961,18.60439
10/15/1961,14.034832
11/15/1961,5.4448195
12/15/1961,3.857529
1/16/1962,1.9942392
2/16/1962,2.7076743
3/15/1962,10.322838
4/15/1962,12.004543
5/15/1962,18.115742
6/15/1962,23.153202
7/15/1962,22.919456
8/15/1962,21.912516
9/15/1962,18.493721
10/15/1962,12.687182
11/15/1962,6.427644
12/15/1962,0.9889343
1/16/1963,4.7340713
2/16/1963,7.866914
3/15/1963,8.595607
4/15/1963,12.877181
5/15/1963,16.633913
6/15/1963,21.86052
7/15/1963,23.990767
8/15/1963,21.857058
9/15/1963,18.740763
10/15/1963,13.2795105
11/15/1963,5.798324
12/15/1963,3.5079489
1/16/1964,3.1177514
2/16/1964,3.9453413
3/15/1964,8.147838
4/15/1964,10.783518
5/15/1964,15.099014
6/15/1964,21.539019
7/15/1964,23.332506
8/15/1964,23.003838
9/15/1964,19.04602
10/15/1964,13.102542
11/15/1964,3.9833066
12/15/1964,2.299366
1/16/1965,4.536538
2/16/1965,5.176803
3/15/1965,5.782126
4/15/1965,10.350618
5/15/1965,16.003592
6/15/1965,22.732712
7/15/1965,22.62293
8/15/1965,21.590109
9/15/1965,18.613396
10/15/1965,12.004132
11/15/1965,7.65519
12/15/1965,1.1759816
1/16/1966,1.6778911
2/16/1966,1.8784935
3/15/1966,7.7257533
4/15/1966,11.752446
5/15/1966,16.357214
6/15/1966,22.245289
7/15/1966,24.226202
8/15/1966,22.486311
9/15/1966,19.603226
10/15/1966,13.062505
11/15/1966,7.75595
12/15/1966,1.9458859
1/16/1967,-1.0999742
2/16/1967,3.6195028
3/15/1967,7.299722
4/15/1967,11.665027
5/15/1967,17.892742
6/15/1967,21.087416
7/15/1967,22.430822
8/15/1967,22.725462
9/15/1967,17.401659
10/15/1967,10.485367
11/15/1967,4.9929876
12/15/1967,2.973054
1/16/1968,3.42964
2/16/1968,3.5754318
3/15/1968,7.075145
4/15/1968,11.270085
5/15/1968,16.866045
6/15/1968,22.522766
7/15/1968,22.798264
8/15/1968,22.420229
9/15/1968,18.092264
10/15/1968,13.275915
11/15/1968,6.592873
12/15/1968,0.47525564
1/16/1969,3.874476
2/16/1969,6.0207505
3/15/1969,7.3024125
4/15/1969,12.478953
5/15/1969,16.117971
6/15/1969,23.166986
7/15/1969,22.448217
8/15/1969,22.711916
9/15/1969,20.00036
10/15/1969,13.275477
11/15/1969,8.997677
12/15/1969,-0.685799
1/16/1970,-0.5372918
2/16/1970,3.0124145
3/15/1970,6.1351547
4/15/1970,9.357622
5/15/1970,15.9811735
6/15/1970,21.258793
7/15/1970,24.3385
8/15/1970,21.751028
9/15/1970,18.495146
10/15/1970,11.868042
11/15/1970,6.9649496
12/15/1970,0.27923274
1/16/1971,0.008005303
2/16/1971,3.5818837
3/15/1971,8.729898
4/15/1971,11.981708
5/15/1971,16.302172
6/15/1971,22.05209
7/15/1971,22.407106
8/15/1971,20.545822
9/15/1971,17.876022
10/15/1971,13.185414
11/15/1971,6.789026
12/15/1971,3.3306866
1/16/1972,3.2529788
2/16/1972,5.749235
3/15/1972,7.7055955
4/15/1972,12.302832
5/15/1972,17.289688
6/15/1972,23.943213
7/15/1972,24.921997
8/15/1972,21.83119
9/15/1972,18.050852
10/15/1972,13.359133
11/15/1972,3.9214408
12/15/1972,1.5805783
1/16/1973,1.8034047
2/16/1973,4.5244126
3/15/1973,6.482094
4/15/1973,13.223169
5/15/1973,18.206549
6/15/1973,20.816212
7/15/1973,22.702295
8/15/1973,21.863039
9/15/1973,17.85038
10/15/1973,11.891378
11/15/1973,6.026778
12/15/1973,2.6703584
1/16/1974,2.595795
2/16/1974,4.6832876
3/15/1974,4.6606374
4/15/1974,11.890505
5/15/1974,14.607736
6/15/1974,21.30761
7/15/1974,23.123032
8/15/1974,22.941109
9/15/1974,19.143682
10/15/1974,11.727852
